work_id	citation	year	permanent_url	research_question	technologies	biological_system	ground_truth	analysis_level	rna_structure_included	structure_type	measurement_error_modeled	cross_platform	technology_specific	predictive_or_descriptive	independent_external_validation	software_tool	closest_overlap	remaining_difference	evidence_depth	accessed
P01	Li et al. Improving gene isoform quantification with miniQuant. Nature Biotechnology	2025	https://doi.org/10.1038/s41587-025-02633-9	Quantification difficulty and hybrid read integration	Short-read; ONT; PacBio	Human; consortium data; simulations	Simulations; spike-ins; experimental comparisons	Gene K-value; transcript abundance	No molecular structure input identified	Exon-isoform structure is not RNA folding	Yes; truth benchmarks plus real-data proxies	Yes	Read-length/data specific	Predictive mathematical difficulty; quantifier	Multiple public cohorts; not our frozen structural test	https://github.com/Augroup/miniQuant	Identifiability risk and assay-design usefulness already addressed	Measured in-vivo reactivity increment after K/rank controls not established	Primary paper sections and repository	2026-09-22
P02	Price A; Garhyan J; Gibas C. The impact of RNA secondary structure on read start locations on the Illumina sequencing platform. PLoS ONE	2017	https://doi.org/10.1371/journal.pone.0173023	Local structure and GC/read-start bias	Illumina; PARS	Three bacterial species	PARS versus control RNA-seq; not endogenous absolute abundance truth	Nucleotide/gene	Yes	Experimental PARS and computational comparison; not matched human in-vivo icSHAPE	Bias association; not absolute transcript error	No major-platform comparison identified	Illumina	Mainly descriptive; local computational analyses	Across organisms; prospective independent structural predictor not established	Data available; software status unverified	Experimental structure already associated with sequencing behavior	Human isoforms; identifiability-adjusted multi-protocol increment; external freeze	Primary abstract/results excerpts	2026-09-22
P03	Su Q et al. Deep structural clustering reveals hidden systematic biases in RNA sequencing data. Genome Research 35:2563-2577	2025	https://doi.org/10.1101/gr.280713.125	Local sequence/structural representations and sequencing efficiency	RNA-seq; exact protocol range requires supplement audit	Synthetic constructs; human cells/tissues	Synthetic constructs; observed read counts	Local k-mers/regions	Yes	Sequence-derived MFE and learned representations; no icSHAPE input identified	Local sequencing bias modeling	Major-platform comparison not established	Protocol applicability requires further audit	VAE-GMM clustering and sequencing simulation	Multiple systems; independence of every test split unverified	https://github.com/QiangSu/VAE-clustering	Very close molecular/local bias modeling	Independent measured in-vivo structure increment beyond identifiability not demonstrated in inspected sections	Primary full-text sections/software	2026-09-22
P04	Brooks TG et al. Sources of non-uniform coverage in short-read RNA-Seq data; journal update A systematic evaluation of the sources of nonuniform coverage in RNA-seq and limitations of current practices	2025;2026	https://doi.org/10.1101/2025.01.30.634337	Sources of nonuniform coverage and structure contribution	Short-read RNA-seq; varied preparation	Mouse tissues; public human reference data	Targeted protocol experiments; not absolute transcript truth	Local coverage; selected genes	Yes	Computational inferred structure; experimental protocol perturbation	Coverage nonuniformity	Protocol comparisons; not ONT/PacBio benchmark	Yes	Descriptive experiments; alpine predictor extension	Public and new datasets; not locked external D>C	alpine extension; exact archived code audit pending	Reported predicted-structure null directly challenges premise	Experimental in-vivo reactivity and multi-protocol transcript endpoint remain different	Preprint primary sections; journal update DOI 10.1261/rna.080852.125 from PubMed; journal text unresolved	2026-09-22
P05	Chen Y; Davidson NM; Wan YK et al. A systematic benchmark of Nanopore long-read RNA sequencing for transcript-level analysis in human cell lines. Nature Methods 22:801-812	2025	https://doi.org/10.1038/s41592-025-02623-4	Cross-protocol transcript analysis benchmark	Illumina; ONT directRNA/directcDNA/PCRcDNA; PacBio IsoSeq	Seven core human cell lines	Spike-ins; selected dPCR; endogenous comparisons not universal truth	Transcript/gene/read	No matched icSHAPE in inspected methods	NA	Spike-in error; endogenous agreement	Yes	Yes	Mainly benchmark/descriptive	Additional resources; not our external predictive design	https://github.com/GoekeLab/sg-nex-data	Same development data and many candidate phenotypes	Structure increment and untouched independent prediction not established	Primary abstract/methods; sample manifests; S3 catalog	2026-09-22
P06	Love MI; Hogenesch JB; Irizarry RA. Modeling of RNA-seq fragment sequence bias reduces systematic errors in transcript abundance estimation. Nature Biotechnology	2016	https://doi.org/10.1038/nbt.3682	Fragment bias correction for transcript quantification	Short-read RNA-seq	Experimental RNA-seq and simulations	Simulation; technical contrasts	Fragment/transcript	No measured structure identified	NA	Yes	Cross-sample; major-platform generalization not established	Sample-specific bias	Predictive generative fragment model; correction	Evaluations on datasets; not locked multi-platform structure test	alpine Bioconductor	Strong sequence/position/GC baseline	Measured structure after ambiguity controls; external protocol behavior	Primary abstract/method excerpts	2026-09-22
P07	Patro R et al. Salmon: fast and bias-aware quantification of transcript expression. Nature Methods	2017	https://pmc.ncbi.nlm.nih.gov/articles/PMC5600148/	Fast quantification with fragment bias correction	Short-read RNA-seq	Real and simulated transcriptomes	Simulated abundance; biological evaluations	Transcript/fragment	No measured structure input identified	NA	Yes	Not central	Library/sample-specific bias	Predictive generative quantifier	Multiple evaluations; our frozen external test absent	Salmon	Sequence and GC corrections must not be rediscovered as structure effects	Explicit measured structure incremental protocol-disagreement prediction	Primary methods excerpt	2026-09-22
P08	Zheng H; Ma C; Kingsford C. Deriving Ranges of Optimal Estimated Transcript Expression due to Nonidentifiability. Journal of Computational Biology	2022	https://doi.org/10.1089/cmb.2021.0444	Ranges of equally optimal transcript estimates	RNA-seq / splice-graph inference	Human Body Map and DE datasets	Mathematical optima; not absolute biological truth	Transcript and local splicing	No folding input	NA	Nonidentifiability uncertainty, not all errors	No dedicated platform comparison	Read/annotation constraints	Mathematical inference	Multiple real datasets; not our predictive external test	https://github.com/Kingsford-Group/subgraphquant	Ambiguity beyond bootstrap variance; incomplete annotation	Molecular predictors cannot replace these uncertainty controls	Primary publication metadata/conclusion	2026-09-22
P09	Boivin V et al. Reducing the structure bias of RNA-Seq reveals a large number of non-annotated non-coding RNA. Nucleic Acids Research	2020	https://doi.org/10.1093/nar/gkaa028	Recover RNAs missed by structure-sensitive RT	RNA-seq with low-structure-bias RT	Human cells/tissues; small ncRNAs	Experimental validation of candidate ncRNAs	Gene/transcript	Yes	Sequence/structural characterization; in-vivo probing increment not established	Detection bias	Protocol contrast	Yes	Experimental/descriptive	Multiple contexts; not locked predictor	Software status unverified	Biological effects of RT structure bias already known	Long transcript isoforms; adjusted incremental prediction	Primary PubMed abstract	2026-09-22
P10	Sun L et al. Predicting dynamic cellular protein-RNA interactions by deep learning using in vivo RNA structures. Cell Research	2021	https://doi.org/10.1038/s41422-021-00476-y	Sequence plus measured structure predicts RBP interactions	icSHAPE; CLIP-seq	Human cell contexts; mouse	RBP binding assays and experiments	Binding sites/transcripts	Yes	Experimental in-vivo icSHAPE; predicted/shuffled comparators	No RNA quantification-error endpoint	Assay integration; not RNA-platform disagreement	RBP/context-specific	Predictive deep learning	Cross-context/experimental evaluation for different target	https://github.com/kuixu/PrismNet	Incremental sequence-plus-structure design and source data	Target is RBP binding, not transcript measurement behavior	Primary methods/abstract; GEO; repository	2026-09-22
