item	classification	program_scope	permitted_evidence	release_effect
independent_study	PASS	C_D_REQUIRED	Repository catalog identifies GSE303762/LongBench as an external study distinct from SG-NEx development.	Required independence condition is met at catalog level.
human_context	PASS	C_D_REQUIRED	Repository catalog describes human lung-cancer cell lines.	Human-context condition is met at catalog level; generalization remains limited to eligible cell lines.
cell_line_identity	CONDITIONAL_PASS	C_D_REQUIRED	Repository catalog states eight lung-cancer cell lines but the exact outcomes-blind inclusion list has not been frozen.	Release requires an exact cell-line manifest derived only from study/sample metadata.
illumina_presence	PASS	C_D_REQUIRED	Repository catalog lists Illumina.	Technology is potentially available; sample-level eligibility remains unresolved.
ont_direct_rna_presence	PASS	C_D_REQUIRED	Repository catalog lists ONT direct RNA.	Technology is potentially available; sample-level eligibility remains unresolved.
bulk_modality_pairing	UNKNOWN	C_D_REQUIRED	Catalog records bulk, single-cell, and single-nucleus contexts without permitted sample-level pairing details.	BLOCKS release until methods/sample metadata prove matched bulk Illumina and bulk direct-RNA preparations per cell line.
biological_replicate_support	UNKNOWN	C_D_REQUIRED	Replicates are explicitly recorded as not inspected in metadata/datasets.tsv.	BLOCKS exact workflow_detection_v1 transport until independent biological preparations are identified and technical runs are nested.
independent_abundance_preparation	UNKNOWN	C_D_REQUIRED	No permitted metadata currently establishes a third independent bulk Illumina preparation for the Model C abundance covariate.	BLOCKS Model C transport; the covariate preparation cannot overlap the two outcome preparations.
annotation_reference_compatibility	UNKNOWN	C_D_REQUIRED	Repository catalog records genome build and annotation as unverified.	BLOCKS release until an exact reference/annotation and deterministic transcript mapping are frozen without expression values.
transcript_level_quantification	UNKNOWN	C_D_REQUIRED	Repository catalog says transcript outputs are unverified.	BLOCKS release until complete transcript-indexed quantification availability is established without reading values.
quantifier_compatibility	UNKNOWN	C_D_REQUIRED	No permitted evidence establishes Salmon 1.9 with the fixed Ensembl 91 reference for the eligible samples.	BLOCKS exact transport; incompatible processed outputs require fixed re-quantification or a separately reviewed objective.
processed_resource_availability	CONDITIONAL_PASS	C_D_REQUIRED	Catalog lists gene-expression resources and unverified transcript outputs.	Processed resources may reduce acquisition burden but cannot be used unless exact transcript and quantifier compatibility pass.
raw_resource_availability	CONDITIONAL_PASS	C_D_REQUIRED	Repository governance identifies AWS longbench-data, but the bucket was not listed and files were not inspected.	Any raw-data route requires a prior size/purpose/processed-alternative report and explicit authorization.
licensing	PASS	C_D_REQUIRED	Repository catalog records CC BY 4.0.	Catalog-level license condition passes; individual object/access terms still require confirmation before acquisition.
acquisition_burden	UNKNOWN	C_D_REQUIRED	Size is UNKNOWN and bucket listing is prohibited.	BLOCKS transfer planning; no transfer over approximately 5 GB may begin without the required report.
matched_experimental_structure	BLOCKER	A_B_ONLY	No verified cell-matched experimental structure assay is present in permitted metadata.	Permanently excludes LongBench from incremental structure validation and structure-feature reproducibility unless a separate pre-unlock verification changes this fact.
exact_workflow_detection_v1_transport	UNKNOWN	C_D_REQUIRED	Required modality, replicate, reference, and quantifier facts are unresolved.	BLOCKS outcome construction; no modified endpoint may be substituted under this candidate.
modified_transport_phenotype	CONDITIONAL_PASS	SEPARATE_OBJECTIVE	A different support rule might be definable if exact compatibility fails, but it would be a different endpoint.	Not allowed by this candidate; requires a new outcomes-blind lock and cannot rescue Model D.
feature_label_separation	UNKNOWN	C_D_REQUIRED	Permitted metadata does not establish sample-separated packaging or a custodian route that prevents outcome exposure during feature construction.	BLOCKS release until prediction-before-scoring separation is operationally demonstrated.
